UZA,Modes,Month,Trips
"Akron, OH",DR,1/1/2019 0:00,26727
"Akron, OH",DR,2/1/2019 0:00,27511
"Akron, OH",DR,3/1/2019 0:00,29613
"Akron, OH",DR,4/1/2019 0:00,30947
"Akron, OH",DR,5/1/2019 0:00,30970
"Akron, OH",DR,6/1/2019 0:00,27225
"Akron, OH",DR,7/1/2019 0:00,29102
"Akron, OH",DR,8/1/2019 0:00,30057
"Akron, OH",DR,9/1/2019 0:00,29348
"Akron, OH",DR,10/1/2019 0:00,33424
"Akron, OH",DR,11/1/2019 0:00,28656
"Akron, OH",DR,12/1/2019 0:00,28225
"Akron, OH",DR,1/1/2020 0:00,29742
"Akron, OH",DR,2/1/2020 0:00,27964
"Akron, OH",DR,3/1/2020 0:00,20678
"Akron, OH",DR,4/1/2020 0:00,10528
"Akron, OH",DR,5/1/2020 0:00,11398
"Akron, OH",DR,6/1/2020 0:00,14266
"Akron, OH",DR,7/1/2020 0:00,15837
"Akron, OH",DR,8/1/2020 0:00,15732
"Akron, OH",DR,9/1/2020 0:00,16905
"Akron, OH",MB,1/1/2019 0:00,472777
"Akron, OH",MB,2/1/2019 0:00,533078
"Akron, OH",MB,3/1/2019 0:00,534096
"Akron, OH",MB,4/1/2019 0:00,586970
"Akron, OH",MB,5/1/2019 0:00,543763
"Akron, OH",MB,6/1/2019 0:00,426457
"Akron, OH",MB,7/1/2019 0:00,420912
"Akron, OH",MB,8/1/2019 0:00,494210
"Akron, OH",MB,9/1/2019 0:00,580307
"Akron, OH",MB,10/1/2019 0:00,640439
"Akron, OH",MB,11/1/2019 0:00,532945
"Akron, OH",MB,12/1/2019 0:00,456488
"Akron, OH",MB,1/1/2020 0:00,541547
"Akron, OH",MB,2/1/2020 0:00,553826
"Akron, OH",MB,3/1/2020 0:00,439938
"Akron, OH",MB,4/1/2020 0:00,211381
"Akron, OH",MB,5/1/2020 0:00,196969
"Akron, OH",MB,6/1/2020 0:00,212465
"Akron, OH",MB,7/1/2020 0:00,219515
"Akron, OH",MB,8/1/2020 0:00,230039
"Akron, OH",MB,9/1/2020 0:00,246046
"Albany, GA",DR,1/1/2019 0:00,1624
"Albany, GA",DR,2/1/2019 0:00,1677
"Albany, GA",DR,3/1/2019 0:00,1730
"Albany, GA",DR,4/1/2019 0:00,1876
"Albany, GA",DR,5/1/2019 0:00,1860
"Albany, GA",DR,6/1/2019 0:00,1642
"Albany, GA",DR,7/1/2019 0:00,1681
"Albany, GA",DR,8/1/2019 0:00,1691
"Albany, GA",DR,9/1/2019 0:00,1415
"Albany, GA",DR,10/1/2019 0:00,1532
"Albany, GA",DR,11/1/2019 0:00,1120
"Albany, GA",DR,12/1/2019 0:00,1264
"Albany, GA",DR,7/1/2020 0:00,1319
"Albany, GA",DR,8/1/2020 0:00,1380
"Albany, GA",DR,9/1/2020 0:00,1372
"Albany, GA",MB,1/1/2019 0:00,67123
"Albany, GA",MB,2/1/2019 0:00,71038
"Albany, GA",MB,3/1/2019 0:00,64820
"Albany, GA",MB,4/1/2019 0:00,67352
"Albany, GA",MB,5/1/2019 0:00,54329
"Albany, GA",MB,6/1/2019 0:00,51053
"Albany, GA",MB,7/1/2019 0:00,48066
"Albany, GA",MB,8/1/2019 0:00,65821
"Albany, GA",MB,9/1/2019 0:00,72144
"Albany, GA",MB,10/1/2019 0:00,75475
"Albany, GA",MB,11/1/2019 0:00,64652
"Albany, GA",MB,12/1/2019 0:00,48698
"Albany, GA",MB,1/1/2020 0:00,52773
"Albany, GA",MB,2/1/2020 0:00,59685
"Albany, GA",MB,3/1/2020 0:00,36635
"Albany, GA",MB,4/1/2020 0:00,26637
"Albany, GA",MB,5/1/2020 0:00,28129
"Albany, GA",MB,6/1/2020 0:00,38324
"Albany, GA",MB,7/1/2020 0:00,41120
"Albany, GA",MB,8/1/2020 0:00,44031
"Albany, GA",MB,9/1/2020 0:00,44813
"Albany-Schenectady, NY",CB,1/1/2019 0:00,16645
"Albany-Schenectady, NY",CB,2/1/2019 0:00,15111
"Albany-Schenectady, NY",CB,3/1/2019 0:00,15890
"Albany-Schenectady, NY",CB,4/1/2019 0:00,16570
"Albany-Schenectady, NY",CB,5/1/2019 0:00,15849
"Albany-Schenectady, NY",CB,6/1/2019 0:00,14769
"Albany-Schenectady, NY",CB,7/1/2019 0:00,15115
"Albany-Schenectady, NY",CB,8/1/2019 0:00,14857
"Albany-Schenectady, NY",CB,9/1/2019 0:00,14880
"Albany-Schenectady, NY",CB,10/1/2019 0:00,16709
"Albany-Schenectady, NY",CB,11/1/2019 0:00,13858
"Albany-Schenectady, NY",CB,12/1/2019 0:00,13874
"Albany-Schenectady, NY",CB,1/1/2020 0:00,15802
"Albany-Schenectady, NY",CB,2/1/2020 0:00,14473
"Albany-Schenectady, NY",CB,3/1/2020 0:00,8074
"Albany-Schenectady, NY",CB,4/1/2020 0:00,1424
"Albany-Schenectady, NY",CB,5/1/2020 0:00,1500
"Albany-Schenectady, NY",CB,6/1/2020 0:00,2336
"Albany-Schenectady, NY",CB,7/1/2020 0:00,2713
"Albany-Schenectady, NY",CB,8/1/2020 0:00,2683
"Albany-Schenectady, NY",CB,9/1/2020 0:00,2668
"Albany-Schenectady, NY",DR,1/1/2019 0:00,26949
"Albany-Schenectady, NY",DR,2/1/2019 0:00,25761
"Albany-Schenectady, NY",DR,3/1/2019 0:00,28880
"Albany-Schenectady, NY",DR,4/1/2019 0:00,30156
"Albany-Schenectady, NY",DR,5/1/2019 0:00,29651
"Albany-Schenectady, NY",DR,6/1/2019 0:00,27694
"Albany-Schenectady, NY",DR,7/1/2019 0:00,29270
"Albany-Schenectady, NY",DR,8/1/2019 0:00,29122
"Albany-Schenectady, NY",DR,9/1/2019 0:00,28543
"Albany-Schenectady, NY",DR,10/1/2019 0:00,30596
"Albany-Schenectady, NY",DR,11/1/2019 0:00,28500
"Albany-Schenectady, NY",DR,12/1/2019 0:00,28045
"Albany-Schenectady, NY",DR,1/1/2020 0:00,29716
"Albany-Schenectady, NY",DR,2/1/2020 0:00,28027
"Albany-Schenectady, NY",DR,3/1/2020 0:00,20951
"Albany-Schenectady, NY",DR,4/1/2020 0:00,8694
"Albany-Schenectady, NY",DR,5/1/2020 0:00,10516
"Albany-Schenectady, NY",DR,6/1/2020 0:00,13155
"Albany-Schenectady, NY",DR,7/1/2020 0:00,14359
"Albany-Schenectady, NY",DR,8/1/2020 0:00,14529
"Albany-Schenectady, NY",DR,9/1/2020 0:00,15256
"Albany-Schenectady, NY",MB,1/1/2019 0:00,1159804
"Albany-Schenectady, NY",MB,2/1/2019 0:00,1185866
"Albany-Schenectady, NY",MB,3/1/2019 0:00,1296279
"Albany-Schenectady, NY",MB,4/1/2019 0:00,1328944
"Albany-Schenectady, NY",MB,5/1/2019 0:00,1300806
"Albany-Schenectady, NY",MB,6/1/2019 0:00,1133853
"Albany-Schenectady, NY",MB,7/1/2019 0:00,1137742
"Albany-Schenectady, NY",MB,8/1/2019 0:00,1221458
"Albany-Schenectady, NY",MB,9/1/2019 0:00,1362262
"Albany-Schenectady, NY",MB,10/1/2019 0:00,1449124
"Albany-Schenectady, NY",MB,11/1/2019 0:00,1244619
"Albany-Schenectady, NY",MB,12/1/2019 0:00,1149854
"Albany-Schenectady, NY",MB,1/1/2020 0:00,1224141
"Albany-Schenectady, NY",MB,2/1/2020 0:00,1216855
"Albany-Schenectady, NY",MB,3/1/2020 0:00,901357
"Albany-Schenectady, NY",MB,4/1/2020 0:00,395013
"Albany-Schenectady, NY",MB,5/1/2020 0:00,470076
"Albany-Schenectady, NY",MB,6/1/2020 0:00,577911
"Albany-Schenectady, NY",MB,7/1/2020 0:00,659510
"Albany-Schenectady, NY",MB,8/1/2020 0:00,670382
"Albany-Schenectady, NY",MB,9/1/2020 0:00,642620
"Albany-Schenectady, NY",VP,1/1/2019 0:00,4239
"Albany-Schenectady, NY",VP,2/1/2019 0:00,4077
"Albany-Schenectady, NY",VP,3/1/2019 0:00,4660
"Albany-Schenectady, NY",VP,4/1/2019 0:00,5229
"Albany-Schenectady, NY",VP,5/1/2019 0:00,4855
"Albany-Schenectady, NY",VP,6/1/2019 0:00,4783
"Albany-Schenectady, NY",VP,7/1/2019 0:00,5746
"Albany-Schenectady, NY",VP,8/1/2019 0:00,5223
"Albany-Schenectady, NY",VP,9/1/2019 0:00,5042
"Albany-Schenectady, NY",VP,10/1/2019 0:00,5177
"Albany-Schenectady, NY",VP,11/1/2019 0:00,4570
"Albany-Schenectady, NY",VP,12/1/2019 0:00,3714
"Albany-Schenectady, NY",VP,1/1/2020 0:00,5060
"Albany-Schenectady, NY",VP,2/1/2020 0:00,4806
"Albany-Schenectady, NY",VP,3/1/2020 0:00,3821
"Albany-Schenectady, NY",VP,4/1/2020 0:00,1677
"Albany-Schenectady, NY",VP,5/1/2020 0:00,1615
"Albany-Schenectady, NY",VP,6/1/2020 0:00,1686
"Albany-Schenectady, NY",VP,7/1/2020 0:00,1773
"Albany-Schenectady, NY",VP,8/1/2020 0:00,1742
"Albany-Schenectady, NY",VP,9/1/2020 0:00,1649
"Albuquerque, NM",CB,1/1/2019 0:00,4146
"Albuquerque, NM",CB,2/1/2019 0:00,4299
"Albuquerque, NM",CB,3/1/2019 0:00,4509
"Albuquerque, NM",CB,4/1/2019 0:00,5064
"Albuquerque, NM",CB,5/1/2019 0:00,5412
"Albuquerque, NM",CB,6/1/2019 0:00,4616
"Albuquerque, NM",CB,7/1/2019 0:00,5003
"Albuquerque, NM",CB,8/1/2019 0:00,5306
"Albuquerque, NM",CB,9/1/2019 0:00,5411
"Albuquerque, NM",CB,10/1/2019 0:00,5939
"Albuquerque, NM",CB,11/1/2019 0:00,4168
"Albuquerque, NM",CB,12/1/2019 0:00,4099
"Albuquerque, NM",CB,1/1/2020 0:00,4389
"Albuquerque, NM",CB,2/1/2020 0:00,4591
"Albuquerque, NM",CB,3/1/2020 0:00,3206
"Albuquerque, NM",CB,4/1/2020 0:00,705
"Albuquerque, NM",CB,5/1/2020 0:00,578
"Albuquerque, NM",CB,6/1/2020 0:00,706
"Albuquerque, NM",CB,7/1/2020 0:00,1107
"Albuquerque, NM",CB,8/1/2020 0:00,1354
"Albuquerque, NM",CB,9/1/2020 0:00,1425
"Albuquerque, NM",CR,1/1/2019 0:00,58602
