fips,county,pop_18,hh_inc,no_veh,transit,service
01001,"Autauga County, Alabama",55200,58786,5.6,0.1,15.9
01003,"Baldwin County, Alabama",208107,55962,3.4,0.1,18.1
01005,"Barbour County, Alabama",25782,34186,9.2,0.3,14.6
01007,"Bibb County, Alabama",22527,45340,6,0.5,18.7
01009,"Blount County, Alabama",57645,48695,4.2,0.1,13.0
01011,"Bullock County, Alabama",10352,32152,11.7,0.0,17.1
01013,"Butler County, Alabama",20025,39109,7.8,0.0,16.0
01015,"Calhoun County, Alabama",115098,45197,5.8,0.3,16.9
01017,"Chambers County, Alabama",33826,39872,7.3,0.2,16.0
01019,"Cherokee County, Alabama",25853,41014,4.1,0.2,12.2
01021,"Chilton County, Alabama",43930,45182,4.9,0.0,13.3
01023,"Choctaw County, Alabama",13075,34884,10.1,0.0,16.2
01025,"Clarke County, Alabama",24387,36127,10.2,0.1,13.6
01027,"Clay County, Alabama",13378,41225,4.2,0.0,13.5
01029,"Cleburne County, Alabama",14938,40188,4,0.0,10.5
01031,"Coffee County, Alabama",51288,53155,6,0.0,16.5
01033,"Colbert County, Alabama",54495,47558,6.1,0.1,14.9
01035,"Conecuh County, Alabama",12514,33177,6.8,0.2,19.2
01037,"Coosa County, Alabama",10855,38301,4.4,0.5,18.4
01039,"Covington County, Alabama",37351,40601,5.2,0.0,14.0
01041,"Crenshaw County, Alabama",13865,39812,6.6,0.5,15.8
01043,"Cullman County, Alabama",82313,42558,4.2,0.1,14.5
01045,"Dale County, Alabama",49255,45960,5.5,0.0,15.9
01047,"Dallas County, Alabama",40029,31602,13.5,0.0,16.9
01049,"DeKalb County, Alabama",71200,39233,5.3,0.1,15.8
01051,"Elmore County, Alabama",81212,59347,4.7,0.1,12.8
01053,"Escambia County, Alabama",37328,35000,4.9,0.0,21.7
01055,"Etowah County, Alabama",102939,44023,6.3,0.2,18.5
01057,"Fayette County, Alabama",16585,37458,7,0.0,16.9
01059,"Franklin County, Alabama",31542,40459,5.1,0.2,13.9
01061,"Geneva County, Alabama",26491,38142,5.5,0.0,16.0
01063,"Greene County, Alabama",8426,21804,15,0.0,17.8
01065,"Hale County, Alabama",14887,30571,12.4,0.1,17.4
01067,"Henry County, Alabama",17124,48610,5.5,0.0,20.2
01069,"Houston County, Alabama",104352,45496,6.2,0.1,18.5
01071,"Jackson County, Alabama",52094,39816,4.6,0.0,13.5
01073,"Jefferson County, Alabama",659892,51979,7.7,0.9,16.7
01075,"Lamar County, Alabama",13933,36756,7.1,0.7,13.5
01077,"Lauderdale County, Alabama",92585,46265,7,0.0,17.4
01079,"Lawrence County, Alabama",33171,44515,5.5,0.1,13.7
01081,"Lee County, Alabama",159287,48056,4.6,0.7,16.2
01083,"Limestone County, Alabama",93052,56460,3.6,0.2,15.4
01085,"Lowndes County, Alabama",10236,30833,13.4,0.4,16.1
01087,"Macon County, Alabama",19054,32074,13,0.6,22.0
01089,"Madison County, Alabama",357560,63417,4.9,0.2,15.1
01091,"Marengo County, Alabama",19538,32809,10.4,0.0,17.4
