OID,metro_area,area_land,area_water,GEOID10,mode,month,trips,classification,lat,lon
1,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-01,22447,Non-Rail,40.13615762,-79.88423289
2,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-02,23338,Non-Rail,40.13615762,-79.88423289
3,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-03,24577,Non-Rail,40.13615762,-79.88423289
4,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-04,24723,Non-Rail,40.13615762,-79.88423289
5,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-05,23115,Non-Rail,40.13615762,-79.88423289
6,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-06,20565,Non-Rail,40.13615762,-79.88423289
7,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-07,21604,Non-Rail,40.13615762,-79.88423289
8,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-08,23608,Non-Rail,40.13615762,-79.88423289
9,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-09,23345,Non-Rail,40.13615762,-79.88423289
10,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-10,26274,Non-Rail,40.13615762,-79.88423289
11,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-11,22627,Non-Rail,40.13615762,-79.88423289
12,"Monessen-California, PA",115663317,3688078,58168,Bus,2019-12,20481,Non-Rail,40.13615762,-79.88423289
13,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-01,21807,Non-Rail,40.13615762,-79.88423289
14,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-02,22296,Non-Rail,40.13615762,-79.88423289
15,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-03,16977,Non-Rail,40.13615762,-79.88423289
16,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-04,10871,Non-Rail,40.13615762,-79.88423289
17,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-05,12829,Non-Rail,40.13615762,-79.88423289
18,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-06,14209,Non-Rail,40.13615762,-79.88423289
19,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-07,13818,Non-Rail,40.13615762,-79.88423289
20,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-08,13417,Non-Rail,40.13615762,-79.88423289
21,"Monessen-California, PA",115663317,3688078,58168,Bus,2020-09,12946,Non-Rail,40.13615762,-79.88423289
22,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-01,4596,Non-Rail,40.30068005,-78.8922193
23,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-02,4426,Non-Rail,40.30068005,-78.8922193
24,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-03,4997,Non-Rail,40.30068005,-78.8922193
25,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-04,5288,Non-Rail,40.30068005,-78.8922193
26,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-05,5587,Non-Rail,40.30068005,-78.8922193
27,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-06,5273,Non-Rail,40.30068005,-78.8922193
28,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-07,5633,Non-Rail,40.30068005,-78.8922193
29,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-08,5723,Non-Rail,40.30068005,-78.8922193
30,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-09,5452,Non-Rail,40.30068005,-78.8922193
31,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-10,6453,Non-Rail,40.30068005,-78.8922193
32,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-11,5235,Non-Rail,40.30068005,-78.8922193
33,"Johnstown, PA",100019423,897132,43291,Demand Response,2019-12,4966,Non-Rail,40.30068005,-78.8922193
34,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-01,4943,Non-Rail,40.30068005,-78.8922193
35,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-02,4646,Non-Rail,40.30068005,-78.8922193
36,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-03,3414,Non-Rail,40.30068005,-78.8922193
37,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-04,1467,Non-Rail,40.30068005,-78.8922193
38,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-05,1517,Non-Rail,40.30068005,-78.8922193
39,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-06,2043,Non-Rail,40.30068005,-78.8922193
40,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-07,2290,Non-Rail,40.30068005,-78.8922193
41,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-08,2273,Non-Rail,40.30068005,-78.8922193
42,"Johnstown, PA",100019423,897132,43291,Demand Response,2020-09,2555,Non-Rail,40.30068005,-78.8922193
43,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2019-01,0,Rail,40.30068005,-78.8922193
44,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2019-02,0,Rail,40.30068005,-78.8922193
45,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2019-03,604,Rail,40.30068005,-78.8922193
46,"Johnstown, PA",100019423,897132,43291,Inclined Plane,2019-04,5192,Rail,40.30068005,-78.8922193
