date,county,state,fips,cases,deaths,metro_area
1/24/2020,Cook,Illinois,17031,1,0,Chicago
1/25/2020,Cook,Illinois,17031,1,0,Chicago
1/26/2020,Maricopa,Arizona,4013,1,0,Phoenix-Mesa
1/26/2020,Los Angeles,California,6037,1,0,Los Angeles-Long Beach-Anaheim
1/26/2020,Cook,Illinois,17031,1,0,Chicago
1/27/2020,Maricopa,Arizona,4013,1,0,Phoenix-Mesa
1/27/2020,Los Angeles,California,6037,1,0,Los Angeles-Long Beach-Anaheim
1/27/2020,Cook,Illinois,17031,1,0,Chicago
1/28/2020,Maricopa,Arizona,4013,1,0,Phoenix-Mesa
1/28/2020,Los Angeles,California,6037,1,0,Los Angeles-Long Beach-Anaheim
1/28/2020,Cook,Illinois,17031,1,0,Chicago
1/29/2020,Maricopa,Arizona,4013,1,0,Phoenix-Mesa
1/29/2020,Los Angeles,California,6037,1,0,Los Angeles-Long Beach-Anaheim
1/29/2020,Cook,Illinois,17031,1,0,Chicago
1/30/2020,Maricopa,Arizona,4013,1,0,Phoenix-Mesa
1/30/2020,Los Angeles,California,6037,1,0,Los Angeles-Long Beach-Anaheim
1/30/2020,Cook,Illinois,17031,2,0,Chicago
1/31/2020,Maricopa,Arizona,4013,1,0,Phoenix-Mesa
1/31/2020,Los Angeles,California,6037,1,0,Los Angeles-Long Beach-Anaheim
1/31/2020,Santa Clara,California,6085,1,0,San Jose
1/31/2020,Cook,Illinois,17031,2,0,Chicago
2/1/2020,Maricopa,Arizona,4013,1,0,Phoenix-Mesa
2/1/2020,Los Angeles,California,6037,1,0,Los Angeles-Long Beach-Anaheim
2/1/2020,Santa Clara,California,6085,1,0,San Jose
2/1/2020,Cook,Illinois,17031,2,0,Chicago
2/2/2020,Maricopa,Arizona,4013,1,0,Phoenix-Mesa
2/2/2020,Los Angeles,California,6037,1,0,Los Angeles-Long Beach-Anaheim
2/2/2020,San Francisco,California,6075,2,0,San Francisco-Oakland
2/2/2020,Santa Clara,California,6085,2,0,San Jose
2/2/2020,Cook,Illinois,17031,2,0,Chicago
2/3/2020,Maricopa,Arizona,4013,1,0,Phoenix-Mesa
2/3/2020,Los Angeles,California,6037,1,0,Los Angeles-Long Beach-Anaheim
2/3/2020,San Francisco,California,6075,2,0,San Francisco-Oakland
2/3/2020,Santa Clara,California,6085,2,0,San Jose
2/3/2020,Cook,Illinois,17031,2,0,Chicago
2/4/2020,Maricopa,Arizona,4013,1,0,Phoenix-Mesa
2/4/2020,Los Angeles,California,6037,1,0,Los Angeles-Long Beach-Anaheim
2/4/2020,San Francisco,California,6075,2,0,San Francisco-Oakland
2/4/2020,Santa Clara,California,6085,2,0,San Jose
2/4/2020,Cook,Illinois,17031,2,0,Chicago
2/5/2020,Maricopa,Arizona,4013,1,0,Phoenix-Mesa
2/5/2020,Los Angeles,California,6037,1,0,Los Angeles-Long Beach-Anaheim
2/5/2020,San Francisco,California,6075,2,0,San Francisco-Oakland
2/5/2020,Santa Clara,California,6085,2,0,San Jose
2/5/2020,Cook,Illinois,17031,2,0,Chicago
2/6/2020,Maricopa,Arizona,4013,1,0,Phoenix-Mesa
2/6/2020,Los Angeles,California,6037,1,0,Los Angeles-Long Beach-Anaheim
2/6/2020,San Francisco,California,6075,2,0,San Francisco-Oakland
2/6/2020,Santa Clara,California,6085,2,0,San Jose
2/6/2020,Cook,Illinois,17031,2,0,Chicago
2/7/2020,Maricopa,Arizona,4013,1,0,Phoenix-Mesa
2/7/2020,Los Angeles,California,6037,1,0,Los Angeles-Long Beach-Anaheim
2/7/2020,San Francisco,California,6075,2,0,San Francisco-Oakland
2/7/2020,Santa Clara,California,6085,2,0,San Jose
2/7/2020,Cook,Illinois,17031,2,0,Chicago
2/8/2020,Maricopa,Arizona,4013,1,0,Phoenix-Mesa
2/8/2020,Los Angeles,California,6037,1,0,Los Angeles-Long Beach-Anaheim
2/8/2020,San Francisco,California,6075,2,0,San Francisco-Oakland
2/8/2020,Santa Clara,California,6085,2,0,San Jose
2/8/2020,Cook,Illinois,17031,2,0,Chicago
2/9/2020,Maricopa,Arizona,4013,1,0,Phoenix-Mesa
2/9/2020,Los Angeles,California,6037,1,0,Los Angeles-Long Beach-Anaheim
